,Tweets,User,User_statuses_count,user_followers,User_location,User_verified,fav_count,rt_count,tweet_date
0,"RT @realDailyWire: .@realDonaldTrump: “NOW, THEREFORE, I, DONALD J. TRUMP, President of the United States of America, by virtue of the auth…",Angry_Traveler,8543,158,"St Clair Shores, MI",False,0,57,2020-01-23 00:04:17
1,RT @People4Bernie: @MorningConsult @BernieSanders @SenatorCollins @senatemajldr Be great if someone made a side by side graphic of populari…,Samantha,5718,110,"Oklahoma City, OK",False,0,12,2020-01-23 00:04:17
2,Donald Trump Says He’s Willing to “Look” at Entitlements “Toward The End of This Year” https://t.co/FsPxR6gp0e,imissgrantland,15361,36,,False,0,0,2020-01-23 00:04:17
3,RT @girlsreallyrule: Lead Manager Adam Schiff starts his opening statement today with a quote from Alexander Hamilton (see below) and sayin…,janettwokay,257006,6940,Silicon Valley,False,0,1106,2020-01-23 00:04:16
4,"RT @JunkScience: Transcript of President Trump at Davos:

Urges Davos delegates to ignore ‘perennial prophets of doom’ and accuses environm…",Glenn Roth,94294,21156,"Nashua, NH",False,0,282,2020-01-23 00:04:16
5,RT @BernieSanders: Donald Trump is attacking us because he knows we will beat him in the general election. https://t.co/v04E11RRop,BoomerForBernie2020,111618,1840,,False,0,11452,2020-01-23 00:04:15
6,"RT @Goss30Goss: POTUS said today in front of the world that the wheel was invented in America. 

The wheel was created in 3,500 BC.

Americ…",ninna721,192119,1428,,False,0,982,2020-01-23 00:04:15
7,RT @BecketAdams: Donald Trump will be the first U.S. president in history to attend the annual March for Life in person. https://t.co/oB3CC…,Matthew Dempster,135714,1969,"Utah, USA",False,0,11,2020-01-23 00:04:15
8,RT @Destiny3650: OMG! THIS IS EPIC...I LOVE IT!!😍ENJOY!😍.                                      Lil Nas X - Old Town Road ( Cover by Donald…,kydeeber,7457,1389,"Kentucky, USA",False,0,37,2020-01-23 00:04:15
9,"RT @cher: Will Donald Trump Destroy Presidency?The Atlantic.He
Divided🇺🇸,Rules GOP,&amp; ALL Agencies,&amp; Branches Of Gov.With IRON👊.COMPLIES WIT…",Kirsty Anne Thomson,62383,2505,ENGLAND,False,0,274,2020-01-23 00:04:15
10,I flicked Adolf Hitler because it shouted at Donald Trump.,Shit Poster,393092,70,,False,0,0,2020-01-23 00:04:14
11,RT @Holly_WV: 💞I freaking love our President💞 “Nothing worth doing ever came easy. Treat the word impossible as nothing more than motivatio…,Maddie2020 👩🏻‍🍳🧚🏻‍♂️🦋🦚🌻💐🐱,29887,4574,"Massachusetts, USA",False,0,13,2020-01-23 00:04:14
12,RT @AuthorKimberley: Mitch McConnell wants you to give up hope. Donald John Trump wants you to throw your hands in the air and say he alrea…,Mona Masters,60526,274,N 37°40' 0'' / W 84°21' 0'',False,0,102,2020-01-23 00:04:14
