Date,Year,Month,Day,Weekday,Week_Number,Label,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-01-02,2014,1,2,Thursday,0,undefined,2014-00,83.74,83.8,83.01,83.41,7214000,80.29,0,80.29,80.29
2014-01-03,2014,1,3,Friday,0,undefined,2014-00,83.41,83.58,82.6,83.08,6438000,79.97,-0.003992346,80.13,80.13
2014-01-06,2014,1,6,Monday,1,undefined,2014-01,83.2,83.39,82.47,82.67,7022000,79.58,-0.004958919,79.94666667,79.94666667
2014-01-07,2014,1,7,Tuesday,1,undefined,2014-01,83.1,83.92,83.1,83.71,7635000,80.68,0.013929435,80.13,80.13
2014-01-08,2014,1,8,Wednesday,1,undefined,2014-01,83.73,84.4,83.6,83.68,6936000,80.66,-0.000298806,80.236,80.236
2014-01-09,2014,1,9,Thursday,1,undefined,2014-01,84,84.42,83.62,84.36,7025000,81.31,0.00807802,80.415,80.415
2014-01-10,2014,1,10,Friday,1,undefined,2014-01,84.68,84.75,83.16,83.48,8211000,80.46,-0.010478649,80.42142857,80.42142857
2014-01-13,2014,1,13,Monday,2,undefined,2014-02,83.55,83.8,80.76,81,12354000,78.07,-0.02966131,80.1275,80.1275
2014-01-14,2014,1,14,Tuesday,2,undefined,2014-02,81.28,82.3,80.41,82.17,10869000,79.2,0.014456886,80.02444444,80.02444444
2014-01-15,2014,1,15,Wednesday,2,undefined,2014-02,82.51,82.98,82.12,82.34,7750000,79.36,0.002020301,79.958,79.958
2014-01-16,2014,1,16,Thursday,2,undefined,2014-02,82.48,82.8,82.24,82.55,4965000,79.57,0.002586786,79.92272727,79.92272727
2014-01-17,2014,1,17,Friday,2,undefined,2014-02,82.5,83.4,80.79,81.84,13330000,78.88,-0.008576655,79.83583333,79.83583333
2014-01-21,2014,1,21,Tuesday,3,undefined,2014-03,82.3,82.66,81.4,81.85,10103000,78.89,7.35E-05,79.76307692,79.76307692
2014-01-22,2014,1,22,Wednesday,3,undefined,2014-03,82.21,83.9,82,83.3,7220600,80.29,0.017739778,79.80071429,79.80071429
2014-01-23,2014,1,23,Thursday,3,undefined,2014-03,83.8,83.81,81.92,82.36,6590300,79.38,-0.011284184,79.73571429,79.77266667
2014-01-24,2014,1,24,Friday,3,undefined,2014-03,81.78,81.98,78.5,78.51,9460200,75.67,-0.046746066,79.42857143,79.51625
2014-01-27,2014,1,27,Monday,4,undefined,2014-04,78.95,78.98,74.95,76.05,13707500,73.3,-0.03133352,78.98,79.15058824
2014-01-28,2014,1,28,Tuesday,4,undefined,2014-04,76.7,79.09,76.58,78.83,7735000,75.98,0.036554784,78.64428571,78.97444444
